feature,gain
vpip_pct,1059044.0263671875
avg_stack_bb,308484.009765625
cold_call_count,182594.359375
pfr_pct,153504.15283203125
cbet_turn_count,104108.099609375
three_bet_pct,100810.65930175781
cbet_turn_opps,97639.54333496094
aggression_bets,75335.44018554688
cold_call_pct,74782.21801757812
four_bet_opps,70101.11962890625
fold_to_3bet_opps,66331.62048339844
cbet_flop_pct,44793.6015625
cbet_river_pct,43588.909912109375
squeeze_count,33228.2998046875
rake_bb_per_100,32574.376525878906
fold_to_cbet_turn_pct,32148.432861328125
fold_to_cbet_turn_opps,32122.580078125
fold_to_3bet_pct,27544.5
pfr_count,20808.63037109375
four_bet_pct,20136.72021484375
aggression_calls,19544.64013671875
cbet_turn_pct,15717.2001953125
hands_utg2,11604.7998046875
cbet_river_opps,8699.639770507812
cbet_flop_opps,7577.3702392578125
squeeze_opps,6320.33984375
fold_to_3bet_count,2533.6439819335938
multiway_flop_pct,2450.5
fold_to_4bet_pct,2273.239990234375
fold_to_cbet_river_pct,2252.5400390625
cold_call_opps,832.5579833984375
aggression_frequency,0.0
cbet_flop_count,0.0
cbet_river_count,0.0
flop_seen,0.0
fold_to_4bet_count,0.0
fold_to_4bet_opps,0.0
fold_to_cbet_flop_count,0.0
fold_to_cbet_flop_opps,0.0
fold_to_cbet_flop_pct,0.0
fold_to_cbet_river_count,0.0
fold_to_cbet_river_opps,0.0
fold_to_cbet_turn_count,0.0
four_bet_count,0.0
hands_bb,0.0
hands_btn,0.0
hands_co,0.0
hands_hj,0.0
hands_lj,0.0
hands_other_position,0.0
hands_sb,0.0
hands_straddle,0.0
hands_total,0.0
hands_utg,0.0
hands_utg1,0.0
headsup_flops,0.0
multiway_flops,0.0
squeeze_pct,0.0
steal_attempt_pct,0.0
steal_attempts,0.0
steal_opps,0.0
steal_success,0.0
steal_success_pct,0.0
three_bet_count,0.0
three_bet_opps,0.0
vpip_count,0.0
vpip_opps,0.0
vpip_pfr_gap_pct,0.0
wsd_pct,0.0
wsd_wins,0.0
wtsd_count,0.0
wtsd_pct,0.0
wwsf_pct,0.0
wwsf_wins,0.0
